Temps (s),Tension (V),Courant (A),Watt (W)
0,5.13375,0.08795,0.4515133125
0,5.13375,0.08800,0.45176999999999995
1,5.13319,0.08882,0.45592993579999996
2,5.13131,0.09040,0.463787164
3,5.12931,0.09473,0.4863135763
4,5.12875,0.09773,0.5012327375
5,5.12875,0.09777,0.5014378875
6,5.12875,0.09775,0.5013353125000001
7,5.12875,0.09778,0.50154045
8,5.12875,0.09828,0.5040535500000001
9,5.12875,0.09825,0.5038996875
10,5.12875,0.09828,0.5040535500000001
11,5.12875,0.09823,0.5037971125
12,5.12875,0.09825,0.5038996875
13,5.12875,0.09850,0.505181875
14,5.12875,0.09805,0.5028739375
15,5.12875,0.09773,0.5012327375
16,5.12875,0.09775,0.5013353125000001
17,5.12875,0.09773,0.5012327375
18,5.12919,0.09743,0.4997369817
19,5.12987,0.09850,0.505181875